word      count
hung      1    
pegs      1    
passed    1    
labeled   1    
ORANGE    1    
MARMALADE 1    
disappointment1    
empty     1    
drop      1    
past      1    
Down      1    
miss      1    
saucer    1    
milk      1    
dozing    1    
heap      1    
sticks    1    
overhead  1    
hurrying  1    
Away      1    
wind      1    
longer    1    
lit       1    
row       1    
lamps     1    
hanging   1    
locked    1    
sadly     1    
wondering 1    
solid     1    
belong    1    
locks     1    
curtain   1    
fifteen   1    
lock      1    
delight   1    
fitted    1    
rat       1    
knelt     1    
loveliest 1    
longed    1    
wander    1    
doorway   1    
hoping    1    
telescopes1    
tied      1    
label     1    
DRINK     1    
letters   1    
_poison_  1    
disagree  1    
sooner    1    
later     1    
mixed     1    
flavor    1    
cherry    1    
tart      1    
custard   1    
pineapple 1    
roast     1    
turkey    1    
toffy     1    
buttered  1    
toast     1    
feeling   1    
brightened1    
decided   1    
plainly   1    
climb     1    
slippery  1    
crying    1    
sharply   1    
advise    1    
advice    1    
seldom    1    
scolded   1    
bring     1    
Soon      1    
EAT       1    
currants  1    
smaller   1    
creep     1    
ate       1    
II        1    
POOL      1    
TEARS     1    
Curiouser 1    
curiouser 1    
largest   1    
Good      1    
shoes     1    
stockings 1    
hopeless  1    
shedding  1    
gallons   1    
dried     1    
returning 1    
splendidly1    
dressed   1    
himself   1    
_won      1    
t_        1    
savage    1    
skurried  1    
darkness  1    
fanning   1    
Dear      1    
yesterday 1    
_Was_     1    
_that     1    
s_        1    
puzzle    1    
measure   1    
altogether1    
narrow    1    
existence 1    
speed     1    
Things    1    
worse     1    
splash    1    
somehow   1    
wept      1    
splashing 1    
nearer    1    
Everything1    
likely    1    
harm      1    
inquisitively1    
wink      1    
Perhaps   1    
dare      1    
Où       1    
est       1    
ma        1    
chatte    1    
lesson    1    
leap      1    
quiver    1    
feelings  1    
passionate1    
perhaps   1    
soothing  1    
fancy     1    
quiet     1    
bristling 1    
Our       1    
family    1    
_hated_   1    
nasty     1    
vulgar    1    
let       1    
Mad       1    
Tea       1    
Party     1    
dog       1    
kills     1    
rats      1    
sorrowful 1    
commotion 1    
softly    1    
III       1    
CAUCUS    1    
RACE      1    
LONG      1    
TALE      1    
draggled  1    
feathers  1    
clinging  1    
dripping  1    
uncomfortable1    
consultation1    
natural   1    
familiarly1    
known     1    
authority 1    
Sit       1    
ll_       1    
Ahem      1    
driest    1    
whose     1    
favored   1    
pope      1    
submitted 1    
wanted    1    
leaders   1    
accustomed1    
usurpation1    
conquest  1    
Edwin     1    
Morcar    1    
Earls     1    
Mercia    1    
Northumbria1    
shiver    1    
Stigand   1    
patriotic 1    
Canterbury1    
_it_      1    
crossly   1    
worm      1    
Edgar     1    
Atheling  1    
offer     1    
melancholy1    
case      1    
solemnly  1    
rising    1    
move      1    
meeting   1    
adjourn   1    
adoption  1    
energetic 1    
remedies  1    
Speak     1    
circle    1    
placed    1    
panting   1    
_Everybody_1    
_she_     1    
pointing  1    
finger    1    
calling   1    
confused  1    
despair   1    
pulled    1    
luckily   1    
complained1    
theirs    1    
ones      1    
choked    1    
patted    1    
begged    1    
promised  1    
whisper   1    
Mine      1    
sighing   1    
puzzling  1    
speaking  1    
prosecute 1    
denial    1    
Said      1    
cur       1    
Such      1    
With      1    
cunning   1    
condemn   1    
death     1    
attending 1    
humbly    1    
fifth     1    
insult    1    
finish    1    
story     1    
joined    1    
quicker   1    
Canary    1    
bed       1    
pretexts  1    
hadn      1    
mentioned 1    
lonely    1    
spirited  1    
eagerly   1    
IV        1    
SENDS     1    
LITTLE    1    
BILL      1    
paws      1    
naturedly 1    
hunting   1    
nowhere   1    
swim      1    
completely1    
_are_     1    
Run       1    
fetch     1    
Quick     1    
housemaid 1    
finds     1    
neat      1    
brass     1    
plate     1    
engraved  1    
upstairs  1    
fear      1    
lest      1    
real      1    
tidy      1    
pairs     1    
uncorked  1    
lips      1    
Before    1    
drunk     1    
pressing  1    
ceiling   1    
stoop     1    
Alas      1    
kneel     1    
Still     1    
resource  1    
_will_    1    
become    1    
Luckily   1    
magic     1    
grew      1    
Fetch     1    
stairs    1    
trembled  1    
forgetting1    
thousand  1    
Presently 1    
inwards   1    
elbow     1    
attempt   1    
proved    1    
failure   1    
_That_    1    
fancied   1    
concluded 1    
possible  1    
cucumber  1    
frame     1    
Digging   1    
apples    1    
whispers  1    
_two_     1    
shrieks   1    
pulling   1    
rumbling  1    
cart      1    
wheels    1    
ladder    1    
Will      1    
bear      1    
Nay       1    
_You_     1    
master    1    
says      1    
scratching1    
scrambling1    
above     1    
kick      1    
happen    1    
Catch     1    
Brandy    1    
choke     1    
Last      1    
feeble    1    
squeaking 1    
thank     1    
ye        1    
Jack      1    
rocket    1    
moving    1    
doubt     1    
rattling  1    
_some_    1    
swallowed 1    
rush      1    
appeared  1    
safe      1    
thick     1    
wandered  1    
around    1    
blades    1    
circumstances1    
tiptoe    1    
immediately1    
blue      1    
caterpillar1    
smoking   1    
taking    1    
smallest  1    
ADVICE    1    
FROM      1    
CATERPILLAR1    
addressed 1    
languid   1    
shyly     1    
present   1    
sternly   1    
Explain   1    
yourself  1    
_myself_  1    
sizes     1    
confusing 1    
gravely   1    
unpleasant1    
Keep      1    
Is        1    
swallowing1    
changing  1    
_little_  1    
wouldn    1    
Three     1    
wretched  1    
angrily   1    
rearing   1    
upright   1    
crawled   1    
merely    1    
thoughtfully1    
broke     1    
violent   1    
blow      1    
underneath1    
closely   1    
swallow   1    
morsel    1    
immense   1    
length    1    
rise      1    
stalk     1    
green     1    
_have_    1    
shoulders 1    
curving   1    
graceful  1    
zigzag    1    
dive      1    
hiss      1    
draw      1    
pigeon    1    
flown     1    
beating   1    
wings     1    
roots     1    
banks     1    
hedges    1    
pleasing  1    
puzzled   1    
wasn      1    
hatching  1    
taken     1    
highest   1    
raising   1    
needs     1    
wriggling 1    
doubtfully1    
changes   1    
matter    1    
matters   1    
_me_      1    
shouldn   1    
_yours_   1    
raw       1    
sulky     1    
nest      1    
crouched  1    
branches  1    
stop      1    
untwist   1    
carefully 1    
bringing  1    
four      1    
Whoever   1    
frighten  1    
wits      1    
venture   1    
brought   1    
VI        1    
